firstName,lastName,temporaryDisplayName,personId,teamId,jersey,isActive,pos,heightFeet,heightInches,heightMeters,weightPounds,weightKilograms,dateOfBirthUTC,nbaDebutYear,yearsPro,collegeName,lastAffiliation,country,isallStar,tpp,ftp,fgp,ppg,rpg,apg,bpg,mpg,spg,assists,blocks,steals,turnovers,offReb,defReb,totReb,fgm,fga,tpm,tpa,ftm,fta,pFouls,points,gamesPlayed,gamesStarted,plusMinus,min,dd2,td3
Precious,Achiuwa,"Achiuwa, Precious",1630173,1610612748,5,True,F,6,8,2.03,225,102.1,1999-09-19,2020,0,Memphis,Memphis/Nigeria,Nigeria,,0,50,64,7.8,4.2,0.6,0.4,14.8,0.2,3,2,1,7,7,14,21,16,25,0,0,7,14,13,39,5,0,-12,74,0,0
Jaylen,Adams,"Adams, Jaylen",1629121,1610612749,6,True,G,6,0,1.83,225,102.1,1996-05-04,2018,2,St. Bonaventure,St. Bonaventure/USA,USA,,33.8,77.8,34.5,3.2,1.8,1.9,0.2,12.6,0.4,65,5,14,28,11,49,60,38,110,25,74,7,9,45,108,34,1,-57,427,0,0
Steven,Adams,"Adams, Steven",203500,1610612740,12,True,C,6,11,2.11,265,120.2,1993-07-20,2013,7,Pittsburgh,Pittsburgh/New Zealand,New Zealand,,10,55.6,58.9,9.8,7.6,1.2,1,26.8,0.9,626,537,478,766,1845,2238,4083,2184,3705,1,10,882,1585,1392,5251,536,472,1662,14388,114,0
Bam,Adebayo,"Adebayo, Bam",1628389,1610612748,13,True,C-F,6,9,2.06,255,115.7,1997-07-18,2017,3,Kentucky,Kentucky/USA,USA,,13.9,71.4,55.6,10.7,7.7,3,0.9,25.7,0.8,675,204,193,411,465,1288,1753,930,1673,5,36,582,815,535,2447,228,124,202,5857,61,3
LaMarcus,Aldridge,"Aldridge, LaMarcus",200746,1610612759,12,True,C-F,6,11,2.11,250,113.4,1985-07-19,2006,14,Texas,Texas/USA,USA,,30.9,81.1,49.1,19.5,8.3,2,1.1,34.4,0.7,1991,1115,733,1576,2686,5687,8373,7935,16156,184,595,3581,4417,2481,19635,1006,965,2772,34595,351,0
Ty-Shon,Alexander,"Alexander, Ty-Shon",1630234,1610612756,0,True,G,6,4,1.93,195,88.5,1998-07-16,2020,0,Creighton,Creighton/USA,USA,,0,0,0,0,0.5,0.5,0,2.5,0,1,0,0,0,0,1,1,0,3,0,1,0,0,1,0,2,0,-11,5,0,0
Nickeil,Alexander-Walker,"Alexander-Walker, Nickeil",1629638,1610612740,6,True,G,6,5,1.96,205,93.0,1998-09-02,2019,1,Virginia Tech,Virginia Tech/Canada,Canada,,34.2,70,37.2,5.8,1.7,1.9,0.2,12.6,0.4,95,9,21,60,9,79,88,110,296,50,146,28,40,63,298,51,1,-51,641,0,0
Grayson,Allen,"Allen, Grayson",1628960,1610612763,3,True,G,6,4,1.93,198,89.8,1995-10-08,2018,2,Duke,Duke/USA,USA,,35.9,80.7,42,7,1.5,1.1,0.1,15.3,0.2,87,9,17,69,15,104,119,188,448,92,256,92,114,101,560,80,6,-225,1226,0,0
Jarrett,Allen,"Allen, Jarrett",1628386,1610612751,31,True,C,6,11,2.11,243,110.2,1998-04-21,2017,3,Texas,Texas/USA,USA,,16.7,69.6,61,10,7.9,1.2,1.4,24.2,0.5,275,308,112,271,575,1220,1795,887,1454,11,66,503,723,501,2288,228,175,-194,5524,59,0
Al-Farouq,Aminu,"Aminu, Al-Farouq",202329,1610612753,2,True,F,6,8,2.03,220,99.8,1990-09-21,2010,10,Wake Forest,Wake Forest/USA,USA,,33.5,74.5,42.1,7.6,6.1,1.2,0.6,25.1,1,848,388,659,835,960,3210,4170,1910,4542,535,1597,893,1199,1273,5248,688,431,214,17264,55,0
Kyle,Anderson,"Anderson, Kyle",203937,1610612763,1,True,F-G,6,9,2.06,230,104.3,1993-09-20,2014,6,UCLA,UCLA/USA,USA,,31.3,70.3,48.7,5.6,4,2,0.5,19.8,0.9,754,200,351,340,258,1244,1502,830,1704,91,291,322,458,538,2073,372,173,346,7372,11,1
Giannis,Antetokounmpo,"Antetokounmpo, Giannis",203507,1610612749,34,True,F,6,11,2.11,242,109.8,1994-12-06,2013,7,Filathlitikos,Filathlitikos/Greece,Greece,,28.3,72,52.6,20.1,8.9,4.3,1.3,32.4,1.2,2310,697,631,1478,899,3871,4770,3921,7458,316,1116,2585,3589,1608,10743,534,469,1256,17322,222,19
Kostas,Antetokounmpo,"Antetokounmpo, Kostas",1628961,1610612747,37,True,F,6,10,2.08,200,90.7,1997-11-20,2018,2,Dayton,Dayton/Greece,Greece,,0,50,37.5,1.1,1,0.3,0.2,4.8,0.2,2,2,2,4,2,6,8,3,8,0,0,3,6,3,9,8,0,10,38,0,0
Thanasis,Antetokounmpo,"Antetokounmpo, Thanasis",203648,1610612749,43,True,F,6,6,1.98,219,99.3,1992-07-18,2015,2,Panathinaikos,Panathinaikos/Greece,Greece,,6.7,41.2,52.4,2.7,1.3,0.8,0.1,7.2,0.3,22,3,9,20,17,18,35,33,63,1,15,7,17,31,74,27,2,-9,195,0,0
Carmelo,Anthony,"Anthony, Carmelo",2546,1610612757,00,True,F,6,7,2.01,238,108.0,1984-05-29,2003,17,Syracuse,Syracuse/USA,USA,,34.9,81.2,44.8,23.5,6.5,2.9,0.5,35.6,1,3255,555,1133,2936,1890,5431,7321,9488,21178,1453,4159,6070,7472,3242,26499,1126,1114,1598,40123,172,2
Cole,Anthony,"Anthony, Cole",1630175,1610612753,50,True,G,6,3,1.9,185,83.9,2000-05-15,2020,0,North Carolina,North Carolina/USA,USA,,20,100,30.9,8.7,5,3.3,0,19.7,0.5,20,0,3,5,9,21,30,17,55,3,15,15,15,10,52,6,0,20,118,0,0
OG,Anunoby,"Anunoby, OG",1628384,1610612761,3,True,F,6,7,2.01,232,105.2,1997-07-17,2017,3,Indiana,Indiana/United Kingdom,United Kingdom,,36,65.7,47.8,7.9,3.6,1,0.4,23.6,1,220,85,205,187,190,589,779,652,1364,237,659,159,242,453,1700,215,141,534,5078,5,0
