firstName,lastName,temporaryDisplayName,personId,teamId,jersey,isActive,pos,heightFeet,heightInches,heightMeters,weightPounds,weightKilograms,dateOfBirthUTC,nbaDebutYear,yearsPro,collegeName,lastAffiliation,country,isallStar
Precious,Achiuwa,"Achiuwa, Precious",1630173,1610612748,5,True,F,6,8,2.03,225,102.1,1999-09-19,2020,0,Memphis,Memphis/Nigeria,Nigeria,
Jaylen,Adams,"Adams, Jaylen",1629121,1610612749,6,True,G,6,0,1.83,225,102.1,1996-05-04,2018,2,St. Bonaventure,St. Bonaventure/USA,USA,
Steven,Adams,"Adams, Steven",203500,1610612740,12,True,C,6,11,2.11,265,120.2,1993-07-20,2013,7,Pittsburgh,Pittsburgh/New Zealand,New Zealand,
Bam,Adebayo,"Adebayo, Bam",1628389,1610612748,13,True,C-F,6,9,2.06,255,115.7,1997-07-18,2017,3,Kentucky,Kentucky/USA,USA,
LaMarcus,Aldridge,"Aldridge, LaMarcus",200746,1610612759,12,True,C-F,6,11,2.11,250,113.4,1985-07-19,2006,14,Texas,Texas/USA,USA,
Ty-Shon,Alexander,"Alexander, Ty-Shon",1630234,1610612756,0,True,G,6,4,1.93,195,88.5,1998-07-16,2020,0,Creighton,Creighton/USA,USA,
Nickeil,Alexander-Walker,"Alexander-Walker, Nickeil",1629638,1610612740,6,True,G,6,5,1.96,205,93.0,1998-09-02,2019,1,Virginia Tech,Virginia Tech/Canada,Canada,
Grayson,Allen,"Allen, Grayson",1628960,1610612763,3,True,G,6,4,1.93,198,89.8,1995-10-08,2018,2,Duke,Duke/USA,USA,
Jarrett,Allen,"Allen, Jarrett",1628386,1610612751,31,True,C,6,11,2.11,243,110.2,1998-04-21,2017,3,Texas,Texas/USA,USA,
Al-Farouq,Aminu,"Aminu, Al-Farouq",202329,1610612753,2,True,F,6,8,2.03,220,99.8,1990-09-21,2010,10,Wake Forest,Wake Forest/USA,USA,
Kyle,Anderson,"Anderson, Kyle",203937,1610612763,1,True,F-G,6,9,2.06,230,104.3,1993-09-20,2014,6,UCLA,UCLA/USA,USA,
Giannis,Antetokounmpo,"Antetokounmpo, Giannis",203507,1610612749,34,True,F,6,11,2.11,242,109.8,1994-12-06,2013,7,Filathlitikos,Filathlitikos/Greece,Greece,
Kostas,Antetokounmpo,"Antetokounmpo, Kostas",1628961,1610612747,37,True,F,6,10,2.08,200,90.7,1997-11-20,2018,2,Dayton,Dayton/Greece,Greece,
Thanasis,Antetokounmpo,"Antetokounmpo, Thanasis",203648,1610612749,43,True,F,6,6,1.98,219,99.3,1992-07-18,2015,2,Panathinaikos,Panathinaikos/Greece,Greece,
Carmelo,Anthony,"Anthony, Carmelo",2546,1610612757,00,True,F,6,7,2.01,238,108.0,1984-05-29,2003,17,Syracuse,Syracuse/USA,USA,
Cole,Anthony,"Anthony, Cole",1630175,1610612753,50,True,G,6,3,1.9,185,83.9,2000-05-15,2020,0,North Carolina,North Carolina/USA,USA,
OG,Anunoby,"Anunoby, OG",1628384,1610612761,3,True,F,6,7,2.01,232,105.2,1997-07-17,2017,3,Indiana,Indiana/United Kingdom,United Kingdom,
Ryan,Arcidiacono,"Arcidiacono, Ryan",1627853,1610612741,51,True,G,6,3,1.9,195,88.5,1994-03-26,2017,3,Villanova,Villanova/USA,USA,
Trevor,Ariza,"Ariza, Trevor",2772,1610612760,8,True,F,6,8,2.03,215,97.5,1985-06-30,2004,16,UCLA,UCLA/USA,USA,
